acctype__cat,light__cat,numvehs__int,pop_group__cat,road_def1__cat,rdsurf__cat,rodwycls__cat,weather1__cat,contrib1__cat,drv_age__int,drv_inj__cat,drv_sex__cat,object1__cat,sobriety__cat,vehtype__cat,vehyr__int,severity__cat
C,A,2,7,H,A,1,A,N,23,0,M,V1,A,A,2007,0
B,A,2,9,H,A,6,A,N,23,0,M,V1,A,A,1997,0
C,A,2,5,H,A,1,B,N,23,0,M,V1,A,A,2008,0
C,A,2,6,H,B,4,B,N,23,0,M,V1,A,A,1998,0
C,C,2,5,H,B,1,C,N,23,0,M,V1,A,A,2007,0
B,D,2,5,H,B,1,C,N,23,0,M,V1,A,A,1998,0
D,A,3,9,H,B,8,C,N,23,0,M,V1,A,A,1992,0
D,C,2,3,H,A,4,A,N,23,0,M,V1,A,A,1999,3
E,D,2,5,H,B,1,C,N,23,0,M,V1,A,A,1998,3
C,C,2,5,H,A,4,A,N,23,0,M,V1,A,A,2006,4
C,A,3,6,H,B,1,C,N,23,0,M,V1,A,A,1991,4
B,D,4,9,H,B,6,C,N,23,0,M,V1,A,A,2001,4
G,D,6,5,H,A,1,A,A,24,0,M,V1,A,A,1992,3
B,D,2,4,H,A,1,A,N,24,0,M,V1,A,A,2003,0
C,B,2,6,H,A,1,A,N,24,0,M,V1,A,A,2006,0
B,A,2,7,H,A,1,B,N,24,0,M,V1,A,A,2003,0
D,C,2,7,H,B,1,B,N,24,0,M,V1,A,A,2002,0
B,A,2,7,H,B,99,C,N,24,0,M,V1,A,A,1998,0
C,A,3,7,H,A,1,A,N,24,0,M,V1,A,A,1997,4
D,C,2,9,H,A,9,A,N,24,0,M,V1,A,A,1999,4
B,A,2,9,H,C,7,D,I,25,0,M,V1,A,A,2004,0
C,D,2,6,H,A,1,A,N,25,0,M,V1,A,A,2005,0
C,A,2,7,H,A,1,A,N,25,0,M,V1,A,A,2004,0
C,A,2,9,D,B,1,A,N,25,0,M,V1,A,A,2004,0
C,C,3,5,H,A,4,A,N,25,0,M,V1,A,A,1999,0
B,A,2,6,H,A,1,B,N,25,0,M,V1,A,A,2004,0
C,A,2,9,H,A,6,B,N,25,0,M,V1,A,A,2004,0
C,A,2,9,H,A,8,B,N,25,0,M,V1,A,A,1990,0
C,B,2,4,H,B,1,C,N,25,0,M,V1,A,A,2000,0
D,C,2,6,H,B,1,C,N,25,0,M,V1,A,A,2003,0
D,A,2,6,H,B,4,B,N,25,0,M,V1,A,A,2003,4
B,A,2,7,H,B,1,B,H,26,0,M,V1,A,A,1999,0
D,D,2,6,H,A,1,A,N,26,0,M,V1,A,A,2003,0
C,A,2,7,H,A,1,A,N,26,0,M,V1,A,A,1993,0
C,A,3,5,H,A,1,A,N,26,0,M,V1,A,A,2003,0
C,A,3,6,H,A,1,A,N,26,0,M,V1,A,A,2007,0
B,C,2,6,H,A,4,A,N,26,0,M,V1,A,A,1992,0
D,A,2,9,H,A,5,A,N,26,0,M,V1,A,A,2004,0
C,A,2,9,H,A,9,A,N,26,0,M,V1,A,A,2006,0
B,D,2,7,D,A,1,B,N,26,0,M,V1,A,A,2000,0
B,A,2,7,H,A,1,B,N,26,0,M,V1,A,A,1997,0
C,A,3,7,H,A,1,B,N,26,0,M,V1,A,A,2007,0
C,C,3,9,H,A,1,B,N,26,0,M,V1,A,A,2001,0
C,A,2,6,H,B,1,B,N,26,0,M,V1,A,A,1994,0
B,A,2,9,H,A,6,B,N,26,0,M,V1,A,A,2001,0
B,A,2,9,H,C,8,B,N,26,0,M,V1,A,A,2005,0
B,C,2,4,H,B,99,B,N,26,0,M,V1,A,A,2001,0
C,A,2,4,H,B,1,C,N,26,0,M,V1,A,A,2005,0
C,C,2,5,H,B,1,C,N,26,0,M,V1,A,A,1987,0
C,D,4,9,H,A,3,B,N,26,0,M,V1,A,A,1996,4
B,C,2,5,H,A,1,A,N,27,0,M,V1,A,A,2002,0
D,A,2,9,H,A,1,A,N,27,0,M,V1,A,A,1992,0
B,D,3,9,H,A,1,A,N,27,0,M,V1,A,A,2007,0
C,A,2,5,H,B,1,B,N,27,0,M,V1,A,A,2000,0
C,C,2,6,H,B,1,B,N,27,0,M,V1,A,A,2008,0
D,A,2,7,H,A,4,A,N,27,0,M,V1,A,A,2007,3
C,A,2,9,H,A,1,A,F,28,0,M,V1,A,A,2002,0
B,A,2,5,H,A,1,A,N,28,0,M,V1,A,A,1998,0
C,A,2,7,H,A,1,A,N,28,0,M,V1,A,A,2004,0
D,C,2,6,H,A,4,A,N,28,0,M,V1,A,A,1996,0
B,A,2,9,H,A,6,A,N,28,0,M,V1,A,A,2001,0
B,A,2,3,H,A,1,B,N,28,0,M,V1,A,A,2006,0
B,A,2,7,H,A,1,B,N,28,0,M,V1,A,A,2008,0
C,A,3,7,H,B,1,B,N,28,0,M,V1,A,A,2006,0
B,C,2,5,H,B,1,C,N,28,0,M,V1,A,A,2005,0
B,A,2,5,H,A,1,A,N,28,0,M,V1,A,A,2004,4
C,A,3,9,H,B,6,B,N,28,0,M,V1,A,A,2001,4
C,D,2,5,H,A,1,A,H,29,0,M,V1,A,A,2008,0
C,C,3,4,H,B,1,C,I,29,0,M,V1,A,A,2007,0
C,D,2,5,H,A,1,A,N,29,0,M,V1,A,A,2002,0
C,D,2,5,H,A,1,A,N,29,0,M,V1,A,A,2007,0
B,D,3,6,H,A,1,A,N,29,0,M,V1,A,A,1987,0
C,A,3,7,H,A,1,A,N,29,0,M,V1,A,A,1993,0
C,A,2,9,H,A,8,A,N,29,0,M,V1,A,A,2002,0
D,A,2,9,H,A,9,A,N,29,0,M,V1,A,A,2001,0
C,A,2,5,H,A,1,B,N,29,0,M,V1,A,A,2002,0
B,A,2,7,H,A,1,B,N,29,0,M,V1,A,A,2005,0
B,D,2,3,H,B,1,B,N,29,0,M,V1,A,A,1999,0
C,D,4,9,H,B,1,B,N,29,0,M,V1,A,A,2001,0
C,C,2,7,A,C,4,B,N,29,0,M,V1,A,A,2007,0
C,A,3,9,H,A,6,B,N,29,0,M,V1,A,A,2000,0
D,C,2,5,H,B,4,C,N,29,0,M,V1,A,A,2000,0
B,C,2,7,H,A,1,A,N,29,0,M,V1,A,A,2004,4
G,A,2,3,H,A,5,A,N,29,0,M,V1,A,A,2006,4
D,A,2,7,C,B,1,B,N,29,0,M,V1,A,A,1994,4
C,A,3,6,H,B,1,B,N,29,0,M,V1,A,A,2003,4
D,D,2,9,H,B,1,C,N,29,0,M,V1,A,A,1994,4
C,C,3,9,H,B,1,B,G,30,0,M,V1,A,A,1995,0
B,A,2,7,H,A,1,B,H,30,0,M,V1,A,A,2000,0
C,A,2,5,H,B,1,B,H,30,0,M,V1,A,A,2007,0
C,C,2,6,H,B,1,C,I,30,0,M,V1,A,A,2002,0
B,A,3,7,H,A,1,A,N,30,0,M,V1,A,A,1999,0
B,D,2,6,H,A,4,A,N,30,0,M,V1,A,A,2005,0
C,C,2,4,H,B,1,C,N,30,0,M,V1,A,A,2003,0
B,B,2,7,H,B,1,C,N,30,0,M,V1,A,A,1996,4
C,C,2,6,H,A,1,A,G,31,0,M,V1,A,A,1998,0
B,A,2,7,H,A,1,B,N,31,0,M,V1,A,A,2005,0
D,B,2,1,H,B,1,B,N,31,0,M,V1,A,A,2002,0
D,A,2,5,H,B,1,B,N,31,0,M,V1,A,A,2007,0
C,C,2,6,H,B,4,B,N,31,0,M,V1,A,A,2008,0
C,B,2,9,G,C,99,B,N,31,0,M,V1,A,A,2002,0
B,C,2,6,H,B,1,C,N,31,0,M,V1,A,A,1997,0
C,C,2,9,H,B,1,C,N,31,0,M,V1,A,A,2004,0
B,D,2,6,H,B,1,C,N,31,0,M,V1,A,A,2003,4
D,A,2,7,H,A,4,B,A,32,0,M,V1,A,A,1996,4
C,C,2,6,H,B,6,B,G,32,0,M,V1,A,A,2007,0
C,C,2,7,H,B,1,C,H,32,0,M,V1,A,A,2000,0
C,A,2,7,H,A,1,A,N,32,0,M,V1,A,A,2002,0
B,A,2,7,H,A,1,A,N,32,0,M,V1,A,A,1994,0
C,B,3,5,H,A,1,A,N,32,0,M,V1,A,A,2002,0
B,D,2,5,H,B,1,A,N,32,0,M,V1,A,A,1994,0
B,C,2,7,H,B,1,A,N,32,0,M,V1,A,A,2000,0
B,A,2,4,H,A,1,B,N,32,0,M,V1,A,A,1999,0
D,B,2,6,H,B,1,B,N,32,0,M,V1,A,A,2001,0
B,C,2,6,H,B,4,B,N,32,0,M,V1,A,A,2000,0
C,C,2,4,H,B,1,C,N,32,0,M,V1,A,A,2000,0
C,A,2,6,H,B,1,C,N,32,0,M,V1,A,A,2005,4
D,C,2,9,H,B,1,C,N,32,0,M,V1,A,A,2003,4
C,B,2,9,H,B,1,B,J,33,0,M,V1,A,A,1999,0
C,A,2,4,H,A,1,A,N,33,0,M,V1,A,A,2007,0
B,D,2,6,H,A,1,A,N,33,0,M,V1,A,A,1999,0
C,A,3,7,H,A,1,A,N,33,0,M,V1,A,A,2004,0
C,B,2,6,H,B,1,B,N,33,0,M,V1,A,A,2005,0
B,A,2,9,H,C,8,B,N,33,0,M,V1,A,A,1999,0
C,A,2,9,H,B,9,B,N,33,0,M,V1,A,A,1998,0
C,A,2,9,H,A,6,B,G,34,0,M,V1,A,A,2006,0
D,C,2,6,H,A,1,A,N,34,0,M,V1,A,A,2002,0
C,A,2,7,H,A,1,A,N,34,0,M,V1,A,A,2006,0
B,A,2,7,H,A,1,A,N,34,0,M,V1,A,A,1995,0
C,A,2,5,H,B,1,A,N,34,0,M,V1,A,A,2005,0
B,C,2,7,H,B,1,B,N,34,0,M,V1,A,A,2006,0
B,A,2,7,H,A,1,C,N,35,0,M,V1,A,A,2000,0
C,D,2,7,H,B,1,C,N,35,0,M,V1,A,A,1998,0
C,D,2,5,H,A,1,A,N,35,0,M,V1,A,A,1995,4
D,A,2,9,H,A,6,A,N,35,0,M,V1,A,A,1998,4
B,A,2,9,H,A,9,B,N,35,0,M,V1,A,A,1992,4
B,A,2,7,H,B,2,B,F,36,0,M,V1,A,A,1997,0
C,C,2,7,H,A,1,A,N,36,0,M,V1,A,A,1996,0
B,D,2,9,H,A,1,A,N,36,0,M,V1,A,A,1999,0
C,C,2,6,H,A,1,B,N,36,0,M,V1,A,A,2004,0
C,C,3,7,H,A,1,B,N,36,0,M,V1,A,A,1997,0
B,A,2,7,H,B,1,B,N,36,0,M,V1,A,A,2000,0
D,A,2,5,H,A,5,B,N,36,0,M,V1,A,A,2004,0
C,D,2,5,H,A,9,B,N,36,0,M,V1,A,A,2008,0
C,C,2,5,H,B,4,C,N,36,0,M,V1,A,A,2008,0
D,A,2,6,H,B,4,C,N,36,0,M,V1,A,A,1991,4
C,A,2,7,H,A,1,A,G,37,0,M,V1,A,A,2000,0
C,D,2,3,H,A,1,B,G,37,0,M,V1,A,A,2004,0
D,C,2,3,H,B,1,B,N,37,0,M,V1,A,A,2000,0
C,A,3,5,H,A,4,B,N,37,0,M,V1,A,A,1982,0
B,C,2,9,H,B,9,B,N,37,0,M,V1,A,A,1999,0
B,C,2,5,H,B,1,C,N,37,0,M,V1,A,A,2005,0
C,D,2,5,H,B,1,C,N,37,0,M,V1,A,A,2000,0
B,D,2,7,H,B,1,C,N,37,0,M,V1,A,A,2008,0
A,A,2,9,H,C,8,B,N,37,0,M,V1,A,A,2007,3
C,C,3,9,H,A,1,A,N,37,0,M,V1,A,A,1997,4
C,C,2,5,H,A,1,A,H,38,0,M,V1,A,A,1994,0
C,A,2,6,H,A,1,A,I,38,0,M,V1,A,A,2000,0
C,A,2,4,H,A,1,A,N,38,0,M,V1,A,A,2000,0
B,A,2,4,H,A,1,A,N,38,0,M,V1,A,A,2001,0
B,A,2,6,H,A,1,A,N,38,0,M,V1,A,A,1997,0
B,D,2,6,H,A,1,A,N,38,0,M,V1,A,A,1996,0
B,A,2,7,H,A,1,A,N,38,0,M,V1,A,A,2006,0
B,B,2,9,H,A,1,A,N,38,0,M,V1,A,A,1983,0
B,D,2,9,H,A,1,A,N,38,0,M,V1,A,A,2007,0
C,A,3,5,H,A,4,A,N,38,0,M,V1,A,A,1999,0
C,A,2,9,H,A,6,A,N,38,0,M,V1,A,A,2005,0
C,A,2,7,H,A,1,B,N,38,0,M,V1,A,A,2003,0
C,C,2,7,H,A,1,B,N,38,0,M,V1,A,A,1986,0
C,D,2,5,H,B,1,B,N,38,0,M,V1,A,A,1995,0
C,A,2,7,C,B,1,C,N,38,0,M,V1,A,A,2006,0
B,C,2,7,H,A,1,A,N,38,0,M,V1,A,A,2002,3
C,C,2,9,H,A,3,A,N,38,0,M,V1,A,A,2007,3
D,A,2,4,H,A,4,B,N,38,0,M,V1,A,A,1999,3
B,A,2,7,H,B,1,B,N,38,0,M,V1,A,A,1997,4
A,D,2,6,H,B,1,C,N,38,0,M,V1,A,A,2000,4
C,A,2,6,H,B,1,B,H,39,0,M,V1,A,A,2005,0
C,C,2,6,D,A,1,B,M,39,0,M,V1,A,A,1985,0
C,A,2,7,A,A,1,A,N,39,0,M,V1,A,A,1999,0
B,C,2,6,D,A,1,B,N,39,0,M,V1,A,A,2007,0
C,B,2,7,H,A,1,B,N,39,0,M,V1,A,A,2006,0
C,C,2,6,H,B,1,B,N,39,0,M,V1,A,A,2004,0
C,A,2,4,H,B,1,C,N,39,0,M,V1,A,A,2007,0
C,D,2,5,H,B,1,C,N,39,0,M,V1,A,A,2004,0
B,A,2,7,H,B,1,C,N,39,0,M,V1,A,A,2002,0
C,A,2,5,H,B,3,C,N,39,0,M,V1,A,A,2007,0
C,C,3,5,H,A,1,A,N,39,0,M,V1,A,A,2003,4
D,A,2,7,H,B,4,B,N,39,0,M,V1,A,A,1991,4
B,A,2,6,H,A,1,A,N,40,0,M,V1,A,A,2007,0
C,C,3,6,H,A,1,A,N,40,0,M,V1,A,A,1993,0
B,D,2,9,H,A,6,A,N,40,0,M,V1,A,A,1992,0
C,C,2,7,H,A,1,B,N,40,0,M,V1,A,A,2001,0
D,A,3,4,H,B,4,B,N,40,0,M,V1,A,A,2006,0
B,A,3,6,H,B,1,C,N,40,0,M,V1,A,A,2003,0
B,C,3,6,H,B,1,C,N,40,0,M,V1,A,A,2003,4
C,A,2,3,H,A,1,A,G,41,0,M,V1,A,A,2008,0
C,D,3,6,H,A,1,A,G,41,0,M,V1,A,A,1997,0
C,A,2,7,H,A,1,A,N,41,0,M,V1,A,A,2004,0
B,A,3,5,H,B,1,C,N,41,0,M,V1,A,A,1995,4
C,A,2,9,H,A,6,A,G,42,0,M,V1,A,A,2002,0
C,A,2,5,H,B,1,A,N,42,0,M,V1,A,A,2000,0
C,C,2,5,H,A,1,B,N,42,0,M,V1,A,A,2004,0
C,C,2,9,H,A,1,B,N,42,0,M,V1,A,A,2004,0
C,A,2,5,H,B,1,B,N,42,0,M,V1,A,A,1994,0
C,A,2,6,H,B,4,C,N,42,0,M,V1,A,A,2002,0
C,A,2,9,H,A,1,A,N,42,0,M,V1,A,A,2002,4
C,A,2,7,H,A,99,A,N,42,0,M,V1,A,A,1993,4
C,C,2,5,H,B,1,C,I,43,0,M,V1,A,A,1992,4
B,A,3,3,H,A,1,A,N,43,0,M,V1,A,A,2003,0
A,A,4,7,H,A,1,A,N,43,0,M,V1,A,A,2005,0
B,C,2,9,H,A,1,B,N,43,0,M,V1,A,A,2004,0
C,A,2,5,H,B,1,B,N,43,0,M,V1,A,A,1990,0
C,C,2,7,H,B,1,B,N,43,0,M,V1,A,A,1998,0
C,C,2,7,H,B,1,B,N,43,0,M,V1,A,A,2001,0
C,A,2,9,H,B,1,B,N,43,0,M,V1,A,A,2008,0
C,A,3,9,H,A,1,A,N,43,0,M,V1,A,A,1993,4
B,A,3,9,H,A,8,A,N,43,0,M,V1,A,A,2003,4
C,D,2,6,H,A,1,A,H,44,0,M,V1,A,A,1999,0
D,A,3,4,H,A,1,A,N,44,0,M,V1,A,A,1999,0
C,A,2,2,H,A,3,A,N,44,0,M,V1,A,A,2001,0
B,C,2,5,H,A,1,B,N,44,0,M,V1,A,A,1995,0
C,A,2,7,H,A,1,B,N,44,0,M,V1,A,A,1994,0
C,A,3,6,H,B,1,B,N,44,0,M,V1,A,A,2001,0
B,D,2,7,H,B,1,C,N,44,0,M,V1,A,A,1993,0
C,C,2,4,H,B,4,C,N,44,0,M,V1,A,A,1995,0
A,C,2,4,H,B,4,C,N,44,0,M,V1,A,A,2004,0
G,C,2,5,H,A,4,B,N,44,0,M,V1,A,A,2001,2
C,A,2,6,H,A,1,A,N,44,0,M,V1,A,A,2003,4
C,A,2,9,H,A,6,B,N,44,0,M,V1,A,A,2007,4
C,A,4,5,H,B,1,C,J,45,0,M,V1,A,A,2000,0
B,A,2,7,H,A,1,A,N,45,0,M,V1,A,A,2002,0
C,D,2,7,H,A,1,A,N,45,0,M,V1,A,A,2001,0
C,D,3,6,H,A,1,A,N,45,0,M,V1,A,A,1999,0
C,A,2,7,H,A,1,B,N,45,0,M,V1,A,A,2004,0
A,A,2,9,H,B,8,B,N,45,0,M,V1,A,A,2007,0
B,A,2,7,H,B,1,C,N,45,0,M,V1,A,A,2003,0
D,C,2,2,H,A,9,A,N,45,0,M,V1,A,A,2006,3
F,A,2,5,H,B,1,B,N,45,0,M,V1,A,A,2008,4
C,D,3,9,H,A,1,A,N,46,0,M,V1,A,A,1995,0
C,D,2,6,H,B,1,A,N,46,0,M,V1,A,A,1995,0
C,A,2,2,H,A,3,A,N,46,0,M,V1,A,A,2007,0
C,A,2,2,H,A,9,A,N,46,0,M,V1,A,A,2002,0
B,A,2,5,H,B,1,B,N,46,0,M,V1,A,A,2005,0
B,D,2,5,H,B,1,B,N,46,0,M,V1,A,A,2008,0
B,A,2,4,H,A,6,B,N,46,0,M,V1,A,A,2007,0
B,D,2,9,H,C,8,D,N,46,0,M,V1,A,A,2005,0
C,D,3,9,H,C,9,D,N,46,0,M,V1,A,A,2007,0
C,A,2,5,H,A,1,A,N,46,0,M,V1,A,A,1991,4
B,A,2,5,H,A,1,B,N,46,0,M,V1,A,A,1990,4
C,A,2,5,H,A,1,B,G,47,0,M,V1,A,A,2007,0
C,A,2,5,G,B,1,B,G,47,0,M,V1,A,A,2003,0
C,D,2,5,H,A,1,A,N,47,0,M,V1,A,A,2001,0
C,A,2,6,H,A,1,A,N,47,0,M,V1,A,A,1996,0
C,A,2,7,H,A,1,A,N,47,0,M,V1,A,A,2007,0
B,D,2,5,H,A,1,B,N,47,0,M,V1,A,A,2008,0
C,D,3,7,H,B,1,B,N,47,0,M,V1,A,A,2005,0
C,A,2,6,H,A,4,B,N,47,0,M,V1,A,A,1994,0
C,A,2,6,H,A,4,B,N,47,0,M,V1,A,A,2008,0
C,A,2,4,H,B,1,C,N,47,0,M,V1,A,A,2006,0
C,A,2,3,H,A,1,B,G,48,0,M,V1,A,A,1988,0
C,A,2,7,D,A,1,A,N,48,0,M,V1,A,A,1991,0
D,A,2,9,H,A,8,A,N,48,0,M,V1,A,A,1998,0
B,C,2,5,H,B,1,C,N,48,0,M,V1,A,A,1995,0
A,A,5,9,G,C,8,D,N,48,0,M,V1,A,A,2004,0
C,A,3,7,H,B,1,B,N,48,0,M,V1,A,A,2002,4
B,A,2,3,H,A,1,A,A,49,0,M,V1,A,A,2004,0
C,D,3,5,H,A,1,A,H,49,0,M,V1,A,A,2005,0
C,B,2,6,H,A,1,A,N,49,0,M,V1,A,A,1992,0
C,C,2,7,H,A,1,A,N,49,0,M,V1,A,A,1997,0
C,A,3,7,H,A,1,B,N,49,0,M,V1,A,A,2006,0
B,A,2,9,H,B,6,C,N,49,0,M,V1,A,A,1999,0
C,D,2,6,H,C,99,D,N,49,0,M,V1,A,A,2000,0
C,A,3,7,H,A,1,A,G,50,0,M,V1,A,A,2001,4
B,A,2,6,H,A,1,A,N,50,0,M,V1,A,A,2004,0
B,A,3,4,H,A,1,A,N,50,0,M,V1,A,A,1995,0
C,A,2,9,H,A,6,A,N,50,0,M,V1,A,A,2006,0
D,A,2,9,H,A,8,B,N,50,0,M,V1,A,A,2000,0
B,A,2,7,H,A,1,A,N,50,0,M,V1,A,A,2003,3
C,C,2,5,H,A,1,A,H,51,0,M,V1,A,A,2003,0
C,E,2,9,H,B,1,C,I,51,0,M,V1,A,A,1992,0
B,D,2,4,H,A,1,A,N,51,0,M,V1,A,A,2000,0
B,C,2,7,H,A,1,A,N,51,0,M,V1,A,A,2002,0
C,A,3,5,H,A,1,A,N,51,0,M,V1,A,A,2002,0
B,C,2,6,H,B,1,A,N,51,0,M,V1,A,A,1997,0
C,A,2,9,H,A,9,A,N,51,0,M,V1,A,A,2001,0
C,A,2,3,H,A,1,B,N,51,0,M,V1,A,A,1999,0
D,A,2,6,H,B,1,B,N,51,0,M,V1,A,A,2006,0
C,A,2,6,H,B,1,B,N,51,0,M,V1,A,A,1991,0
B,C,2,6,H,B,1,C,N,51,0,M,V1,A,A,2008,0
D,A,3,7,H,B,1,B,N,51,0,M,V1,A,A,2001,4
C,A,2,7,H,A,1,A,A,52,0,M,V1,A,A,1998,0
B,A,2,3,C,A,1,B,H,52,0,M,V1,A,A,2000,0
C,D,2,6,H,A,1,A,N,52,0,M,V1,A,A,2001,0
C,A,2,7,H,B,1,B,N,52,0,M,V1,A,A,2006,0
D,C,2,9,H,B,1,B,N,52,0,M,V1,A,A,2000,0
C,C,2,9,H,B,1,B,N,52,0,M,V1,A,A,2007,0
C,A,2,9,H,C,8,D,N,52,0,M,V1,A,A,2006,0
C,C,2,7,H,A,1,A,G,53,0,M,V1,A,A,1995,0
C,D,2,9,H,A,1,A,N,53,0,M,V1,A,A,1990,0
C,C,3,7,H,A,1,A,N,53,0,M,V1,A,A,1997,0
D,D,2,9,H,A,8,A,N,53,0,M,V1,A,A,1996,0
C,A,2,7,H,A,1,B,N,53,0,M,V1,A,A,1991,0
C,C,2,7,H,A,1,B,N,53,0,M,V1,A,A,2008,0
C,A,2,7,H,B,1,B,N,53,0,M,V1,A,A,2000,0
B,A,2,6,H,A,4,B,N,53,0,M,V1,A,A,1997,0
C,C,2,6,H,B,1,C,N,53,0,M,V1,A,A,2000,0
C,C,2,6,H,B,4,C,N,53,0,M,V1,A,A,2006,0
D,D,2,9,H,B,8,C,N,53,0,M,V1,A,A,1998,0
C,A,3,9,H,B,10,B,N,53,0,M,V1,A,A,1993,2
C,A,5,7,H,B,1,B,N,53,0,M,V1,A,A,1990,4
C,C,2,5,H,B,1,C,N,53,0,M,V1,A,A,1989,4
C,A,2,6,H,A,4,A,F,54,0,M,V1,A,A,2000,0
B,A,2,6,H,A,1,A,G,54,0,M,V1,A,A,2000,0
B,D,2,4,H,A,1,A,N,54,0,M,V1,A,A,2005,0
B,D,2,6,H,A,1,A,N,54,0,M,V1,A,A,1998,0
B,D,2,6,H,A,1,A,N,54,0,M,V1,A,A,2001,0
B,D,2,6,H,A,1,A,N,54,0,M,V1,A,A,2005,0
C,A,2,6,H,B,1,B,N,54,0,M,V1,A,A,2005,0
C,A,2,7,H,B,1,B,N,54,0,M,V1,A,A,2000,0
C,A,3,6,H,A,4,B,N,54,0,M,V1,A,A,2006,0
D,A,2,6,H,B,4,B,N,54,0,M,V1,A,A,2005,3
D,A,2,3,H,B,5,C,N,54,0,M,V1,A,A,2000,4
C,A,2,5,H,B,1,C,H,55,0,M,V1,A,A,1989,4
B,A,2,4,H,A,5,A,N,55,0,M,V1,A,A,2007,0
D,A,2,5,H,A,4,B,N,55,0,M,V1,A,A,1993,0
C,C,3,2,H,B,10,B,N,55,0,M,V1,A,A,2000,0
D,A,2,5,H,B,1,C,N,55,0,M,V1,A,A,2004,0
C,A,2,6,H,B,4,C,N,55,0,M,V1,A,A,1998,0
B,D,2,9,H,C,8,D,N,55,0,M,V1,A,A,1998,0
C,A,2,7,C,B,1,C,N,55,0,M,V1,A,A,2004,4
B,C,2,4,H,B,1,B,H,56,0,M,V1,A,A,2005,0
D,A,2,5,C,A,1,B,N,56,0,M,V1,A,A,2003,0
B,A,2,9,H,A,1,B,N,56,0,M,V1,A,A,2007,0
B,D,2,5,H,B,1,B,N,56,0,M,V1,A,A,2005,0
C,A,2,7,H,B,1,C,N,56,0,M,V1,A,A,2002,0
C,A,2,7,D,A,1,A,N,57,0,M,V1,A,A,2002,0
C,B,2,7,H,A,1,A,N,57,0,M,V1,A,A,2005,0
D,A,2,9,H,B,1,A,N,57,0,M,V1,A,A,2001,0
C,A,2,6,H,A,4,A,N,57,0,M,V1,A,A,2004,0
B,D,2,6,H,B,1,B,N,57,0,M,V1,A,A,2007,0
B,D,2,9,H,A,8,B,N,57,0,M,V1,A,A,1991,0
B,A,2,5,H,B,1,C,N,57,0,M,V1,A,A,1976,0
C,A,2,6,H,B,1,C,N,57,0,M,V1,A,A,1994,0
D,A,2,9,H,B,8,B,N,57,0,M,V1,A,A,1989,3
C,A,2,7,H,A,1,A,N,57,0,M,V1,A,A,2002,4
C,A,2,5,H,A,5,B,N,57,0,M,V1,A,A,1992,4
C,A,2,7,H,A,1,A,N,58,0,M,V1,A,A,2000,0
B,A,2,9,H,A,1,A,N,58,0,M,V1,A,A,2000,0
B,A,4,9,H,C,6,D,N,58,0,M,V1,A,A,2007,0
B,D,2,6,H,A,1,A,N,58,0,M,V1,A,A,2004,3
B,A,2,7,H,B,1,B,H,59,0,M,V1,A,A,2001,3
C,A,2,5,H,A,1,A,N,59,0,M,V1,A,A,1991,0
C,C,2,6,D,A,1,A,N,59,0,M,V1,A,A,1996,0
C,D,3,6,H,A,1,A,N,59,0,M,V1,A,A,1999,0
C,A,2,5,H,A,1,B,N,59,0,M,V1,A,A,2003,0
D,A,2,5,H,A,4,B,N,59,0,M,V1,A,A,2008,0
C,A,2,5,H,A,1,A,N,59,0,M,V1,A,A,2002,4
D,C,2,4,H,A,4,A,N,60,0,M,V1,A,A,1999,0
C,D,3,3,H,B,1,C,N,60,0,M,V1,A,A,2000,0
B,A,2,9,H,B,1,C,N,60,0,M,V1,A,A,1998,4
C,D,2,3,H,B,1,C,N,61,0,M,V1,A,A,2002,0
D,D,2,7,H,B,1,C,N,61,0,M,V1,A,A,2005,3
B,C,2,7,H,B,1,B,N,61,0,M,V1,A,A,2007,4
C,A,2,7,H,A,1,A,N,62,0,M,V1,A,A,1998,0
D,A,2,3,H,B,1,B,N,62,0,M,V1,A,A,2000,0
C,A,2,9,H,B,9,E,N,62,0,M,V1,A,A,2004,0
D,A,2,6,H,A,1,A,N,63,0,M,V1,A,A,2002,0
C,D,2,6,H,B,1,B,N,63,0,M,V1,A,A,2007,0
C,A,2,6,H,B,1,B,N,64,0,M,V1,A,A,2002,0
C,A,2,9,H,A,3,B,N,64,0,M,V1,A,A,2003,0
C,A,3,7,H,B,1,C,N,64,0,M,V1,A,A,2002,3
D,D,2,9,H,A,1,B,N,65,0,M,V1,A,A,2006,0
B,A,2,6,H,A,1,A,N,65,0,M,V1,A,A,2006,3
C,B,2,7,H,A,1,A,N,67,0,M,V1,A,A,2005,0
C,C,2,7,H,B,1,B,N,68,0,M,V1,A,A,2001,0
A,D,2,7,H,B,1,C,N,68,0,M,V1,A,A,2003,4
C,A,2,6,H,A,1,A,N,69,0,M,V1,A,A,2003,0
C,A,2,7,H,A,1,A,N,70,0,M,V1,A,A,2002,0
C,A,2,9,H,A,1,A,N,70,0,M,V1,A,A,1984,0
C,A,2,9,H,A,10,A,N,71,0,M,V1,A,A,2002,0
D,C,2,5,H,B,1,C,N,71,0,M,V1,A,A,2004,0
B,B,2,9,H,A,6,A,N,71,0,M,V1,A,A,2002,4
C,A,2,9,H,A,1,A,G,72,0,M,V1,A,A,1991,0
B,D,2,5,H,B,1,B,N,72,0,M,V1,A,A,2006,3
C,B,2,7,H,B,1,C,N,73,0,M,V1,A,A,2005,0
