lat__float,longitude__float,acctype__cat,light__cat,numvehs__cat,rdsurf__cat,rodwycls__cat,weather__cat,severity__cat
40.83574377,-89.89110524,6,3,1,3,6,3,0
41.79752453,-87.80612874,11,1,2,1,1,1,0
40.73238393,-89.62124941,6,4,1,4,1,2,0
40.87163644,-89.63026823,10,1,2,1,8,1,0
40.80220633,-89.57377987,10,1,2,9,4,1,0
41.90757018,-87.86441405,14,5,2,3,4,3,0
40.86054828,-88.67125128,6,1,1,1,6,1,0
39.84581307,-88.9544569,15,5,2,1,4,1,0
38.76838891,-89.9027112,6,4,1,2,6,1,0
39.84582047,-88.95315284,6,5,1,2,4,2,0
38.32858909,-89.90656598,10,1,2,1,8,1,0
38.63531276,-90.13838555,6,5,2,1,1,1,0
39.84580354,-88.95595694,11,1,2,1,4,1,0
38.62035644,-90.08048464,6,1,1,2,1,2,0
38.54284084,-90.04849359,5,5,1,1,4,1,0
38.61325433,-90.07467134,7,5,2,1,1,1,0
38.65285278,-90.03391815,5,4,1,1,1,1,0
38.63256205,-90.14715343,11,1,2,1,1,1,0
38.72676814,-90.00640041,4,4,1,1,3,1,0
38.39131006,-89.36818141,4,4,1,9,6,9,0
41.90546063,-87.92250972,6,5,1,2,1,1,0
41.45754081,-90.37822585,6,4,1,3,6,3,0
41.41227074,-89.96269835,6,4,1,4,6,3,0
41.53527395,-90.3227545,11,1,2,3,6,3,0
41.19673605,-90.3324404,6,4,1,3,6,3,0
41.52081132,-90.34157809,6,5,1,3,6,3,0
41.4200082,-90.13950984,5,4,1,3,6,3,0
41.4199601,-90.13942371,6,4,1,3,6,3,0
41.45667511,-90.41089169,4,4,1,1,6,1,0
39.4076831,-90.62839736,4,4,1,1,8,1,0
39.68119867,-90.51495807,5,3,1,4,6,6,0
40.21929857,-88.39375406,4,4,1,1,8,1,0
40.44864689,-89.02233382,6,1,1,4,1,2,0
40.87776431,-88.28519017,6,1,1,4,8,3,0
40.65016562,-88.99964642,6,4,1,1,8,1,0
40.87496431,-88.67140607,7,1,1,1,1,1,0
41.02661783,-88.64328197,4,4,1,1,8,1,0
40.59078914,-88.85965316,4,4,1,1,6,1,0
41.07626861,-88.45333562,12,1,2,1,6,1,0
41.84436785,-87.65409025,6,5,1,2,1,3,0
41.86696233,-87.64454064,11,1,2,1,1,1,0
41.76573314,-87.62570674,11,3,2,2,1,3,0
39.6504158,-88.31421544,6,1,1,4,8,1,0
39.64279941,-87.90652216,6,4,1,4,8,1,0
39.55697413,-88.34164974,6,1,1,4,8,1,0
40.50781826,-88.08480635,6,1,1,4,6,3,0
40.31326612,-87.94925826,4,4,1,1,8,1,0
39.60738365,-87.6610732,4,4,1,1,8,1,0
41.4144419,-90.07792889,8,1,1,1,6,1,0
41.41117337,-90.02574829,6,4,1,3,6,3,0
41.37952815,-89.90494415,6,1,1,4,8,3,0
41.35088469,-90.16517323,6,1,1,4,8,3,0
41.35038654,-89.90507555,6,4,1,3,8,3,0
41.32301824,-90.28091362,4,4,1,3,8,6,0
41.22444182,-90.3790571,4,4,1,1,8,1,0
41.21724055,-90.187114,4,4,1,1,8,1,0
41.45467427,-90.30967253,4,4,1,1,8,1,0
42.30581856,-87.94721521,11,1,2,2,4,3,0
42.36639308,-88.04327842,11,4,2,1,3,1,0
39.93196966,-91.41331048,10,1,2,2,99,2,0
39.92937847,-91.41172745,10,5,2,4,5,4,0
41.602298,-87.79411308,11,1,2,3,4,1,0
41.95324276,-87.80726398,11,1,2,9,3,1,0
42.15780568,-89.62845738,13,1,2,1,8,1,0
42.02813378,-89.33008877,6,1,1,9,8,3,0
